,name,brand,price,max power,max torque,cooling system,transmission,transmission type,displacement
0,Royal Enfield Hunter 350,Royal Enfield,149900,20.2,27,air/oil cooled,5 speed manual,chain drive,349
1,Royal Enfield Classic 350,Royal Enfield,190229,20.2,27,air/oil cooled,5 speed manual,chain drive,349
2,Royal Enfield Bullet 350,Royal Enfield,157391,19.1,28,air cooled,5 speed manual,chain drive,346
3,Royal Enfield Continental GT 650,Royal Enfield,304945,47,52,air/oil cooled,6 speed manual,chain drive,648
4,Royal Enfield Meteor 350,Royal Enfield,200924,20.2,27,air/oil cooled,5 speed manual,chain drive,349
5,Royal Enfield Himalayan,Royal Enfield,215869,24.3,32,air cooled,5 speed manual,chain drive,411
6,Royal Enfield Interceptor 650,Royal Enfield,288141,47,52,air/oil cooled,6 speed manual,chain drive,648
7,Royal Enfield Scram 411,Royal Enfield,202923,24.3,32,air cooled,5 speed manual,chain drive,411
8,TVS Raider 125,TVS,90524,11.2,11.2,air/oil cooled,5 speed manual,chain drive,124.8
9,Apache,TVS,118381,15.31,13.9,air cooled,5 speed manual,chain drive,159.7
10,Apache,TVS,122410,17.31,14.73,oil cooled,5 speed manual,chain drive,159.7
11,TVS Ronin,TVS,149000,20.1,19.93,oil cooled,5 speed manual,chain drive,225.9
12,TVS Ntorq 125,TVS,85995,9.25,10.5,air cooled,automatic,cvt,124.8
13,TVS Sport,TVS,61577,8.18,8.7,air cooled,4 speed manual,chain drive,109.7
14,Apache,TVS,264987,33.5,27.3,liquid cooled,6 speed manual,chain drive,312.2
15,Apache,TVS,141058,20.54,17.25,oil cooled,5 speed manual,chain drive,197.75
16,TVS Jupiter,TVS,76461,7.77,8.8,air cooled,automatic,cvt,109.7
17,TVS Jupiter 125,TVS,84568,8.04,10.5,air cooled,automatic,cvt,124.8
18,Apache,TVS,121725,16.56,15.5,oil cooled,5 speed manual,chain drive,177.4
19,TVS Star City Plus,TVS,73481,8.08,8.7,air cooled,4 speed manual,chain drive,109.7
20,TVS Radeon,TVS,71674,8.08,8.7,air cooled,4 speed manual,chain drive,109.7
21,TVS Scooty Pep Plus,TVS,64580,5.36,6.5,air cooled,automatic,cvt,87.8
22,TVS XL100 Heavy Duty,TVS,47140,4.3,6.5,air cooled,automatic,cvt,99.7
23,TVS Scooty Zest 110,TVS,75471,7.71,8.8,air cooled,automatic,cvt,109.7
24,TVS XL100 Comfort,TVS,45648,4.3,6.5,air cooled,automatic,cvt,99.7
25,Splendor,Hero,71571,7.91,8.05,air cooled,4 speed manual,chain drive,97.2
26,Hero Splendor Plus Xtec,Hero,76381,7.9,8.05,air cooled,4 speed manual,chain drive,97.2
27,Hero HF Deluxe,Hero,60163,7.91,8.05,air cooled,4 speed manual,chain drive,97.2
28,Splendor,Hero,78627,10.72,10.6,air cooled,5 speed manual,chain drive,124.7
29,Hero Xtreme 160R,Hero,119570,15,14,air cooled,5 speed manual,chain drive,163
30,Hero Glamour,Hero,79029,10.72,10.6,air cooled,5 speed manual,chain drive,124.7
31,Hero Passion Pro,Hero,73432,9.02,9.89,air cooled,4 speed manual,chain drive,110
32,Hero Xpulse 200 4V,Hero,137436,18.8,17.35,oil cooled,5 speed manual,chain drive,199.6
33,Hero Pleasure +,Hero,68847,8,8.7,air cooled,automatic,cvt,110.9
34,Hero Passion Xtec,Hero,80746,9,9.79,air cooled,4 speed manual,chain drive,110
35,Hero Glamour Xtec,Hero,91033,10.72,10.6,air cooled,5 speed manual,chain drive,124.7
36,Hero Xpulse 200T 4V,Hero,133285,18.83,17.3,oil cooled,5 speed manual,chain drive,199.6
37,Hero Xtreme 200S,Hero,135257,17.8,16.45,oil cooled,5 speed manual,chain drive,199.6
38,Hero Pleasure + Xtec,Hero,78913,8,8.7,air cooled,automatic,cvt,110.9
39,Hero Maestro Edge 125,Hero,87827,9,10.4,air cooled,automatic,cvt,124.6
40,Hero Destini 125 Xtec,Hero,83842,9,10.4,air cooled,automatic,cvt,125
41,Hero Maestro Edge 110,Hero,70899,8.04,8.7,air cooled,automatic,cvt,110.9
42,Pulsar,Bajaj,82712,11.64,10.8,air cooled,5 speed manual,chain drive,124.4
43,Pulsar,Bajaj,105884,13.8,13.25,air cooled,5 speed manual,chain drive,149.5
44,Pulsar,Bajaj,123006,15.68,14.65,oil cooled,5 speed manual,chain drive,164.82
45,Pulsar,Bajaj,171256,24.1,18.7,liquid cooled,6 speed manual,chain drive,199.5
46,Pulsar,Bajaj,105597,11.8,11,air cooled,5 speed manual,chain drive,124.45
47,Platina,Bajaj,52734,7.9,8.34,air cooled,4 speed manual,chain drive,102
48,Pulsar,Bajaj,142055,24.13,18.74,liquid cooled,6 speed manual,chain drive,199.5
49,Pulsar,Bajaj,124604,17.03,14.6,oil cooled,5 speed manual,chain drive,160.3
50,Bajaj Dominar 400,Bajaj,222744,39.42,35,liquid cooled,6 speed manual,chain drive,373.3
51,Bajaj Dominar 250,Bajaj,175054,26.63,23.5,liquid cooled,6 speed manual,chain drive,248.8
52,Platina,Bajaj,67659,8.44,9.81,air cooled,5 speed manual,chain drive,115.45
53,Pulsar,Bajaj,144285,24.1,21.5,oil cooled,5 speed manual,chain drive,249
54,Bajaj CT 110,Bajaj,59041,8.48,9.81,air cooled,4 speed manual,chain drive,115.45
55,Bajaj CT 125X,Bajaj,72023,10.7,11,air cooled,5 speed manual,chain drive,124.4
56,Avenger,Bajaj,112562,14.79,13.7,air cooled,5 speed manual,chain drive,160
57,Pulsar,Bajaj,144449,24.1,21.5,oil cooled,5 speed manual,chain drive,249
58,Avenger,Bajaj,138999,18.4,17.55,oil cooled,5 speed manual,chain drive,220
59,Honda SP 125,Honda,83086,10.72,10.9,air cooled,5 speed manual,chain drive,124
60,Activa,Honda,73663,7.68,8.84,air cooled,automatic,cvt,109.51
61,Honda Shine,Honda,78000,10.59,11,air cooled,5 speed manual,chain drive,123.94
62,Honda Unicorn,Honda,104982,12.73,14,air cooled,5 speed manual,chain drive,162.7
63,Honda Dio,Honda,71502,7.65,9,fan cooled,automatic,cvt,109.51
64,Honda Hornet 2.0,Honda,136391,17.03,16.1,air cooled,5 speed manual,chain drive,184.4
65,Honda Hness CB350,Honda,200349,20.78,30,air cooled,5 speed manual,chain drive,348.36
